CardNumber,,Transaction,Value
4550 4580 1335 7633,,9.99E+18,2042
4395 3371 1614 7357,,9.99E+18,1525
4532 2496 2396 6654,,9.99E+18,940
4301 3896 9033 6321,,9.99E+18,934
4495 0252 2355 9288,,9.99E+18,2256
4828 2903 9847 8858,,9.99E+18,1718
4279 7622 9569 5481,,9.99E+18,975
4745 0347 6479 1878,,9.99E+18,1076
4701 7848 2287 4288,,9.99E+18,1802
4453 3371 7691 4208,,9.99E+18,932
4655 5566 2899 8115,,9.99E+18,1880
4756 1730 5734 3421,,9.99E+18,1134
4123 4315 5110 8534,,9.99E+18,1173
4248 6360 1418 1395,,9.99E+18,826
4728 9078 1843 4812,,9.99E+18,1173
4307 9517 1929 8792,,9.99E+18,1791
4991 2513 2738 7520,,9.99E+18,681
4946 1529 0365 2574,,9.99E+18,2099
4029 4590 4710 6759,,9.99E+18,2324
4998 2003 9577 0953,,9.99E+18,2370
4950 4752 4118 3736,,9.99E+18,906
4148 9668 9982 6520,,9.99E+18,2298
4636 1128 0683 6349,,9.99E+18,2434
4817 5079 8260 5122,,9.99E+18,918
4384 8191 8296 0980,,9.99E+18,882
4020 5346 4675 6508,,9.99E+18,1766
4923 9769 9324 0701,,9.99E+18,662
4687 3054 6068 9792,,9.99E+18,870
4416 1732 6465 1873,,9.99E+18,2398
4057 7224 8017 7321,,9.99E+18,1958
4663 9736 6016 1504,,9.99E+18,1005
4145 0706 3942 2212,,9.99E+18,1940
4052 6410 4403 4502,,9.99E+18,982
4979 6344 1060 0550,,9.99E+18,1446
4823 7119 7797 9870,,9.99E+18,2374
4306 1146 6036 0381,,9.99E+18,737
4970 4938 2327 5701,,9.99E+18,663
4852 0456 1248 8144,,9.99E+18,849
4448 8167 5063 3340,,9.99E+18,1314
4135 2613 2858 5177,,9.99E+18,1965
4556 5214 1173 7195,,9.99E+18,1281
4857 5979 3269 8807,,9.99E+18,694
4456 7994 3469 6124,,9.99E+18,598
4685 3882 5264 0522,,9.99E+18,1954
4929 7643 3412 3156,,9.99E+18,1020
4707 4604 4344 7093,,9.99E+18,1272
4307 8162 3455 2686,,9.99E+18,1245
4035 2193 2883 1067,,9.99E+18,1201
4317 5245 4153 8731,,9.99E+18,870
4564 1710 2682 1263,,9.99E+18,1068
4612 8507 7107 4150,,9.99E+18,1071
4236 2613 7949 1943,,9.99E+18,1277
4368 7443 0272 7889,,9.99E+18,866
4811 7422 1127 1356,,9.99E+18,1005
4568 9157 6580 2280,,9.99E+18,1696
4137 5125 6045 4755,,9.99E+18,1248
4419 4715 4263 2385,,9.99E+18,2271
4454 5991 4586 8505,,9.99E+18,1858
4724 1966 8557 7325,,9.99E+18,1618
4327 3478 8750 7245,,9.99E+18,2169
4951 0417 6952 6851,,9.99E+18,1315
4657 9816 5582 2665,,9.99E+18,2124
4299 7128 3741 0283,,9.99E+18,1608
4638 0105 2690 1328,,9.99E+18,1798
4921 4010 4484 1714,,9.99E+18,1069
4146 9874 8072 9818,,9.99E+18,1481
4360 5577 1457 8023,,9.99E+18,2036
4195 7042 7931 1868,,9.99E+18,1232
4178 3396 9166 7513,,9.99E+18,1830
4871 4248 9322 6084,,9.99E+18,849
4040 7012 8613 5279,,9.99E+18,697
4483 7366 2115 0231,,9.99E+18,610
4899 2487 1400 7060,,9.99E+18,1043
4282 5739 4536 2363,,9.99E+18,796
4561 0712 9516 9431,,9.99E+18,2065
4385 3352 8192 7365,,9.99E+18,1564
4613 4803 7446 2781,,9.99E+18,1568
4000 5953 5041 7441,,9.99E+18,810
4267 6675 3098 2459,,9.99E+18,2266
4895 9422 0965 3420,,9.99E+18,1939
4437 4387 8474 2212,,9.99E+18,1378
4169 2313 5476 3302,,9.99E+18,836
4744 4518 3616 8383,,9.99E+18,715
4239 6583 4374 0312,,9.99E+18,1744
4645 5649 9074 4169,,9.99E+18,1341
4974 1280 6928 8390,,9.99E+18,1911
4530 9768 6820 3680,,9.99E+18,2493
4477 7436 9648 4956,,9.99E+18,1112
4941 1461 5923 7507,,9.99E+18,1269
4360 2512 8012 9243,,9.99E+18,1611
4643 6743 2238 5920,,9.99E+18,780
4932 3306 3311 2095,,9.99E+18,2085
4274 8670 5951 9192,,9.99E+18,1234
4758 7921 6561 0021,,9.99E+18,1888
4587 8692 1927 5386,,9.99E+18,1382
4509 5489 2130 9965,,9.99E+18,1803
4006 0630 5091 3684,,9.99E+18,868
4030 0200 8847 3131,,9.99E+18,918
4107 7656 8120 0442,,9.99E+18,535
4739 4117 8757 7211,,9.99E+18,2199
